iso3,name,lat,lng,usage_pct,usage_per_capita_index,use_case_work_pct,use_case_personal_pct,use_case_coursework_pct,collaboration_bucket_automation_pct,collaboration_bucket_augmentation_pct,ai_autonomy_mean,multitasking_pct,working_age_pop,gdp_2024,top_topic,top_topic_pct
EGY,Egypt,26.60517034450628,30.240135435012338,0.62,0.36,40.78,31.07,28.15,50.87,49.13,2.76,18.03,73289803.0,383109000000.0,Education & Learning,21.5
ESP,Spain,28.297665106525546,-16.53799441021647,2.05,2.69,42.28,38.5,19.22,48.1,51.9,2.73,22.99,32179918.0,1722227000000.0,Content Creation & Copywriting,22.06
EST,Estonia,58.648108311231034,25.916870250633806,0.07,3.21,40.38,46.95,12.67,49.22,50.78,2.68,23.08,865244.0,42752000000.0,Content Creation & Copywriting,19.73
FIN,Finland,65.01578959749911,25.65738433454702,0.18,2.19,38.49,48.67,12.85,45.91,54.09,2.66,23.65,3465172.0,298833000000.0,Content Creation & Copywriting,19.6
FRA,France,46.6423682169416,2.1940236627886227,3.95,3.97,34.23,48.11,17.65,45.6,54.4,2.68,22.56,42033842.0,3162023000000.0,Content Creation & Copywriting,22.51
GBR,United Kingdom,53.97844735080214,-2.852943909329258,3.47,3.35,39.02,43.47,17.5,44.81,55.19,2.69,26.29,43830571.0,3644636000000.0,Content Creation & Copywriting,21.51
GEO,Georgia,42.17986277737226,43.378866534112234,0.1,1.8,41.99,45.72,12.29,48.09,51.91,2.66,22.89,2335229.0,33775000000.0,Content Creation & Copywriting,18.25
GHA,Ghana,7.94530467243628,-1.219233362526581,0.19,0.38,37.78,32.64,29.57,54.68,45.32,2.86,24.68,20819475.0,82825000000.0,Content Creation & Copywriting,28.59
GRC,Greece,39.42012261727978,23.110368936161876,0.23,1.51,47.13,39.3,13.57,47.81,52.19,2.71,21.64,6528411.0,257067000000.0,Content Creation & Copywriting,20.52
GTM,Guatemala,15.820878515352684,-90.31219349119617,0.1,0.37,39.3,28.67,32.03,51.75,48.25,2.82,21.82,11701574.0,112575000000.0,Content Creation & Copywriting,23.75
HND,Honduras,14.740370695750006,-86.49251679006962,0.04,0.26,46.47,31.61,21.92,52.74,47.26,2.81,21.87,7032493.0,36965000000.0,Content Creation & Copywriting,24.14
HRV,Croatia,44.91192100856702,16.625761129583374,0.1,1.8,43.57,42.9,13.53,49.03,50.97,2.66,22.15,2431478.0,92506000000.0,Content Creation & Copywriting,19.47
HTI,Haiti,18.883520486983567,-72.89291379842,0.03,0.14,29.88,40.81,29.3,52.26,47.74,2.79,23.72,7546932.0,26229000000.0,Education & Learning,30.38
HUN,Hungary,47.22527332486294,19.39620048366142,0.16,1.07,37.87,45.11,17.02,48.1,51.9,2.71,21.98,6177773.0,223060000000.0,Content Creation & Copywriting,17.56
IDN,Indonesia,0.15591979959037652,113.96538246847302,2.08,0.46,29.41,24.71,45.88,47.51,52.49,2.83,16.93,193093840.0,1396300000000.0,Content Creation & Copywriting,32.06
IND,India,23.586300567746722,81.17300408530181,7.12,0.3,44.14,35.92,19.95,51.87,48.13,2.84,19.92,989967399.0,3909097000000.0,Content Creation & Copywriting,22.11
IRL,Ireland,53.30489539816495,-8.241128545554096,0.27,3.23,36.26,47.94,15.8,46.74,53.26,2.69,26.38,3526890.0,577216000000.0,Content Creation & Copywriting,19.33
IRQ,Iraq,33.105075667527906,43.832529181056884,0.16,0.24,23.54,41.92,34.54,49.44,50.56,2.71,14.63,27627172.0,277478000000.0,Education & Learning,26.49
ISL,Iceland,65.12360920205514,-19.05682967106099,0.02,4.02,36.46,48.94,14.6,48.38,51.62,2.71,24.85,269437.0,33463000000.0,Content Creation & Copywriting,16.4
ISR,Israel,31.513542220043195,35.027923472437024,0.43,3.05,53.32,37.26,9.42,51.94,48.06,2.75,20.16,5988435.0,540381000000.0,Content Creation & Copywriting,18.98
ITA,Italy,42.98201127614267,12.763657166123137,1.5,1.7,42.89,40.93,16.19,46.36,53.64,2.71,21.22,37446049.0,2372059000000.0,Content Creation & Copywriting,22.97
JAM,Jamaica,18.12207889341651,-77.30358894542778,0.03,0.66,43.29,37.98,18.73,49.49,50.51,2.82,28.35,2075097.0,20069000000.0,Content Creation & Copywriting,25.17
JOR,Jordan,31.387064884449156,36.95728884547246,0.11,0.64,37.1,32.88,30.02,48.93,51.07,2.73,18.43,7487234.0,53428000000.0,Education & Learning,21.76
JPN,Japan,36.76738832597829,137.46934234351835,3.28,1.91,47.0,47.15,5.85,47.45,52.55,2.72,21.71,72876601.0,4026211000000.0,Content Creation & Copywriting,22.07
KAZ,Kazakhstan,47.641465195176835,66.3759193479301,0.21,0.71,36.37,40.57,23.06,49.26,50.74,2.7,21.66,12761934.0,284810000000.0,Content Creation & Copywriting,22.53
KEN,Kenya,0.6899182318376179,37.95309411262371,0.27,0.34,51.15,30.05,18.8,54.61,45.39,2.87,25.57,33971376.0,120899000000.0,Content Creation & Copywriting,29.57
KGZ,Kyrgyzstan,41.35698905438358,74.17532903468319,0.04,0.35,32.53,44.71,22.76,50.95,49.05,2.68,22.36,4477563.0,17491000000.0,Content Creation & Copywriting,21.91
KHM,Cambodia,12.699186865507775,105.03973078680701,0.06,0.21,45.64,34.69,19.67,52.29,47.71,2.79,21.36,11296444.0,47328000000.0,Software Development,22.51
KOR,South Korea,36.402386712544114,127.76224551357649,3.24,3.78,47.24,37.86,14.9,43.76,56.24,2.64,21.67,36307699.0,1869714000000.0,Content Creation & Copywriting,27.3
KWT,Kuwait,29.281360965443092,47.56311109320184,0.08,0.92,40.06,44.83,15.11,48.86,51.14,2.73,21.29,3913252.0,158568000000.0,Content Creation & Copywriting,18.9
LBN,Lebanon,33.91160170722086,35.89651946324749,0.08,0.96,43.89,30.59,25.52,45.52,54.48,2.77,23.21,3696945.0,28280000000.0,Content Creation & Copywriting,22.37
LKA,Sri Lanka,7.696630939329944,80.66931169770622,0.19,0.56,38.98,26.04,34.98,52.19,47.81,2.83,17.54,14435143.0,98964000000.0,Content Creation & Copywriting,24.48
LTU,Lithuania,55.29437393417175,23.946021605013534,0.1,2.28,38.72,43.8,17.48,47.99,52.01,2.7,22.51,1880919.0,84847000000.0,Content Creation & Copywriting,19.45
LUX,Luxembourg,49.77523454542369,6.103230338458876,0.05,4.85,42.82,45.0,12.18,46.79,53.21,2.67,23.58,465906.0,93169000000.0,Content Creation & Copywriting,20.2
LVA,Latvia,56.813853047554154,24.693671325654403,0.07,2.37,38.17,43.25,18.58,47.7,52.3,2.68,25.42,1170560.0,43508000000.0,Content Creation & Copywriting,20.77
