date_start,date_end,geo_id,geo_level,category_name,hierarchy_level,metric_id,value,node_name,node_external_id
2026-04-01,2026-05-01,RWA,country,overall,0,artifact_document_or_report_pct,16.96,Overall,-
2026-04-01,2026-05-01,MLT,country,overall,0,artifact_none_pct,6.97,Overall,-
2026-04-01,2026-05-01,UZB,country,overall,0,artifact_recipe_or_meal_plan_pct,0.47,Overall,-
2026-04-01,2026-05-01,UZB,country,overall,0,artifact_none_pct,7.55,Overall,-
2026-04-01,2026-05-01,MKD,country,overall,0,artifact_audio_or_music_pct,0.0,Overall,-
2026-04-01,2026-05-01,MNG,country,overall,0,human_only_time_mean,4.01,Overall,-
2026-04-01,2026-05-01,MNG,country,overall,0,artifact_chart_or_visualization_pct,5.04,Overall,-
2026-04-01,2026-05-01,UZB,country,overall,0,ai_education_years_mean,11.79,Overall,-
2026-04-01,2026-05-01,UZB,country,overall,0,ai_autonomy_mean,2.81,Overall,-
2026-04-01,2026-05-01,MKD,country,overall,0,artifact_config_or_infra_pct,2.6,Overall,-
2026-04-01,2026-05-01,UZB,country,overall,0,use_case_personal_pct,33.81,Overall,-
2026-04-01,2026-05-01,MNG,country,overall,0,artifact_video_or_animation_pct,0.29,Overall,-
2026-04-01,2026-05-01,ZMB,country,overall,0,artifact_analysis_or_summary_pct,2.32,Overall,-
2026-04-01,2026-05-01,MKD,country,overall,0,artifact_chart_or_visualization_pct,1.95,Overall,-
2026-04-01,2026-05-01,PRY,country,overall,0,artifact_recipe_or_meal_plan_pct,0.49,Overall,-
2026-04-01,2026-05-01,UGA,country,overall,0,artifact_explanation_or_answer_pct,15.08,Overall,-
2026-04-01,2026-05-01,UGA,country,overall,0,artifact_app_or_website_pct,6.08,Overall,-
2026-04-01,2026-05-01,UZB,country,overall,0,artifact_creative_writing_pct,1.19,Overall,-
2026-04-01,2026-05-01,SLV,country,overall,0,artifact_video_or_animation_pct,0.14,Overall,-
2026-04-01,2026-05-01,UGA,country,overall,0,human_with_ai_time_mean,32.75,Overall,-
2026-04-01,2026-05-01,SVN,country,overall,0,artifact_app_or_website_pct,3.55,Overall,-
2026-04-01,2026-05-01,SVN,country,overall,0,ai_autonomy_mean,2.66,Overall,-
2026-04-01,2026-05-01,MKD,country,overall,0,artifact_advice_or_recommendation_pct,12.11,Overall,-
2026-04-01,2026-05-01,PSE,country,overall,0,artifact_app_or_website_pct,7.33,Overall,-
2026-04-01,2026-05-01,PRY,country,overall,0,collaboration_feedback_loop_pct,17.53,Overall,-
2026-04-01,2026-05-01,PRI,country,overall,0,collaboration_task_iteration_pct,31.27,Overall,-
2026-04-01,2026-05-01,ZMB,country,overall,0,artifact_idea_or_brainstorm_pct,0.74,Overall,-
2026-04-01,2026-05-01,TZA,country,overall,0,human_only_ability_pct,78.85,Overall,-
2026-04-01,2026-05-01,RWA,country,overall,0,artifact_ui_or_design_mockup_pct,1.43,Overall,-
2026-04-01,2026-05-01,SVN,country,overall,0,artifact_resume_or_job_application_pct,0.47,Overall,-
2026-04-01,2026-05-01,PRY,country,overall,0,multitasking_pct,22.22,Overall,-
2026-04-01,2026-05-01,UZB,country,overall,0,artifact_video_or_animation_pct,0.21,Overall,-
2026-04-01,2026-05-01,UGA,country,overall,0,ai_autonomy_mean,2.91,Overall,-
2026-04-01,2026-05-01,PSE,country,overall,0,artifact_creative_writing_pct,0.52,Overall,-
2026-04-01,2026-05-01,TZA,country,overall,0,artifact_code_fix_or_debug_pct,2.94,Overall,-
2026-04-01,2026-05-01,PAN,country,overall,0,artifact_script_or_snippet_pct,3.38,Overall,-
2026-04-01,2026-05-01,MKD,country,overall,0,artifact_ui_or_design_mockup_pct,1.69,Overall,-
2026-04-01,2026-05-01,MUS,country,overall,0,artifact_presentation_or_slides_pct,2.7,Overall,-
2026-04-01,2026-05-01,ZWE,country,overall,0,usage_pct,0.04,Overall,-
2026-04-01,2026-05-01,PSE,country,overall,0,collaboration_bucket_augmentation_pct,46.63,Overall,-
2026-04-01,2026-05-01,ZWE,country,overall,0,artifact_blog_or_article_pct,0.17,Overall,-
2026-04-01,2026-05-01,ZMB,country,overall,0,artifact_code_fix_or_debug_pct,2.5,Overall,-
2026-04-01,2026-05-01,MUS,country,overall,0,usage_per_capita_index,1.49,Overall,-
2026-04-01,2026-05-01,UGA,country,overall,0,artifact_config_or_infra_pct,1.26,Overall,-
2026-04-01,2026-05-01,MLT,country,overall,0,artifact_creative_writing_pct,0.41,Overall,-
2026-04-01,2026-05-01,MUS,country,overall,0,artifact_game_or_interactive_pct,0.11,Overall,-
